date;CF Index;DM Index;EO Index;ES Index;FA Index;FFB Index;FFD Index;FT Index;GX Index;HC Index;HI Index;HWA Index;HWB Index;IB Index;IFB Index;IFD Index;KM Index;MES Index;MX Index;NH Index;NI Index;NK Index;NO Index;NQ Index;PT Index;RTY Index;SM Index;ST Index;TP Index;UX Index;VG Index;XB Index;XP Index;Z  Index
2021-10-12;276.4476503618;383.3539054913;773.4046843151;405.9914220971;511.5278176524;21.0624742463;36.6833195891;16.6924064039;566.0433666251;39.3141533188;84.9527852375;149.7338746212;185.7480968426;132.679967152;27.7749475222;;0.1367481319;156.5754512115;19.6327858729;3.0171277934;0.6454667901;0.8351686811;2.1135834681;470.8649969516;266.0624757835;157.035284124;157.0151575911;165.7887248977;0.6998093289;114.9557193436;200.5207367123;;184.4306453408;489.7330494901
2021-10-13;278.4299236104;383.320336848;779.3893187312;407.3242281249;513.2800165959;21.3462899222;36.9891247159;16.5817867715;569.77326801;;;150.2254273974;187.1551593543;132.0024170815;28.2460153572;;0.1379566244;158.9086537372;19.5038499199;3.0207376812;0.6474019081;0.8366708126;2.1173621593;474.4318517218;268.3766787099;157.6833461229;157.937192835;165.6539638552;0.6989720206;116.7971030422;202.048612555;37.2054907215;184.0488463548;490.5696103195
2021-10-14;282.0151015915;389.2172285058;792.6031904047;414.2454664443;522.2124220795;21.2520285393;37.1997071052;16.6692913614;577.0672021835;;;152.7780523406;190.6157725587;132.5904389772;28.1275286623;;0.1392978261;159.3978736216;19.605843458;3.0757499642;0.659234619;0.8495499458;2.149760299;483.2043864269;271.1825420257;160.0501812489;158.8762009643;167.8805951866;0.7058588536;122.8973127543;205.2319750466;37.1750371047;185.5099183715;494.7677546364
2021-10-15;283.7392485203;393.5475834802;801.9005044762;417.3787297376;522.612380534;21.4262584829;37.4245403401;17.0900802977;581.5485959746;39.8399474834;86.3344779622;153.9336325513;191.8485367863;133.6352864058;28.2872221791;;0.1407572596;161.4300177569;20.0963063294;3.1223986679;0.6721867162;0.8659748621;2.1910780435;486.3294010792;273.1744443869;159.5500464455;159.8584230458;169.2319900525;0.7222970816;122.3216712416;206.8382786523;37.3413701281;186.6382952602;496.0049382492
2021-10-18;281.5290456755;393.1223806662;798.3107161043;418.781683451;523.7360733347;20.9115646067;37.4212827479;17.0200914056;577.9506068411;39.8973975195;86.7341570889;154.4510565263;193.826030046;132.6390990897;27.776821668;;0.1402823227;160.9658860716;20.0147287259;3.112675881;0.6675782097;0.8597145101;2.1753297975;491.3422780535;274.1697512517;159.528913989;160.1286557872;168.6578451898;0.715857931;124.7689202133;205.5783825216;37.3171507504;187.2525717808;494.2910720032
2021-10-19;281.4069426883;395.2483947364;803.9863350512;421.9383293062;525.2216333085;21.0851291102;37.7941309847;17.2262472192;579.3312889136;40.5779857317;87.8824320833;155.61526047;195.1950638412;133.6222295957;28.1532574271;;0.1410972302;163.1109271033;20.2550196736;3.1433740442;0.6762816427;0.8701466037;2.2015722797;494.8127313435;275.3921044294;160.0994903141;159.5010193488;169.234068584;0.7220882763;125.8299773784;206.3221808944;36.8538150667;186.8652818929;495.4099467464
2021-10-20;282.8523864594;396.9715850879;806.948671992;423.5049609528;529.3164460569;21.1194278586;37.7328801573;17.2396675415;579.402120487;41.2852813125;89.1733197302;156.1930505753;194.9288628254;133.9889623125;28.0947799859;;0.1405878882;163.1736476013;20.2706621234;3.1341686237;0.6758978356;0.8707424626;2.2030711942;494.1379209815;276.7316492322;161.1349806817;160.6867720567;170.7599553035;0.7227110383;127.2036966314;206.4958009231;36.8165999213;187.9544799878;495.5310595798
2021-10-21;282.0788682909;397.0051537312;809.0714067373;424.7910018567;531.0495993597;21.2499717874;37.6005905087;17.1593102035;577.8086153199;41.1658868011;88.5429199547;156.6673558857;196.2123320084;132.9267865751;28.1581037944;;0.1404186761;162.0195904381;20.1769992741;3.0648611812;0.662926401;0.8542930239;2.1616917625;497.3914709409;277.0720456995;161.5998947243;161.0304811309;170.4887214867;0.7110412265;131.2722655931;205.6278125714;36.4689019888;188.0322176906;493.4109713885
2021-10-22;284.0330194533;397.866748907;814.452292487;424.299968057;531.640014221;21.5398381883;37.3831966445;17.2017164585;580.4998684909;41.5814977752;89.0173472809;156.4862574945;194.4661801076;132.4540350344;28.490288814;;0.1407001483;161.6808997489;20.2264271269;3.0756689157;0.6658875737;0.8584904755;2.1722506737;492.9650363049;277.2079176947;161.2265546598;161.3891564457;170.7260510764;0.7122946457;128.4365762798;207.3637892748;36.2806388098;188.0063551972;494.9803672008
2021-10-25;283.1806475843;398.5716904144;814.5015100571;426.3108683796;534.1921300735;21.5292706723;37.697525197;17.244156193;582.6534617976;41.4620925124;89.1224233714;157.2278985253;196.4278280687;132.6156773384;28.5830014051;;0.1411118209;162.6342513185;20.2758940026;3.0839004813;0.6602247157;0.8509976649;2.1534021128;497.9377459958;278.022062163;162.7410473744;161.2319743172;172.3485633147;0.7089533711;132.1420981831;207.6110406685;36.5939056038;188.9897204746;495.7044144578
