date;5y Note;2y Note;10y Note;30y Bond;10y Note Ultra;30y Bond Ultra
2023-09-19;91.1551952022;94.2170116227;89.8682195579;85.7567851977;88.3646534972;75.6550590583
2023-09-20;91.162010105;94.1952223046;89.9454259321;86.0060986064;88.4984899396;75.9774416226
2023-09-21;90.8047231308;94.1371174562;89.2891717515;84.3513086259;87.5374513444;74.023990666
2023-09-22;90.9799557959;94.1770645394;89.507923145;84.8046881652;87.8294050454;74.4033088968
2023-09-25;90.8384538684;94.1698014334;89.083288087;83.3085356855;87.099520793;72.6963768583
2023-09-26;90.8114504042;94.1625383273;89.0318171709;82.9684556931;86.9656843505;72.222191138
2023-09-27;90.5216316464;94.0499601836;88.5943143838;82.333724338;86.4790948489;71.8049410842
2023-09-28;90.7709856528;94.1806960925;88.8259335064;82.333724338;86.6737306495;71.8049410842
2023-09-29;90.9058411959;94.2279062818;88.9932139838;82.5377904687;86.8562260421;72.0325320226
2023-10-02;90.5216316464;94.104433479;88.3884307193;81.5176411673;86.1020488088;71.0083727996
2023-10-03;90.2182639704;94.0390655246;87.8222506419;80.2708927721;85.274846656;69.3583764276
2023-10-04;90.5216316464;94.2170116227;88.2082825128;80.8829098122;85.7249297803;70.0980090457
2023-10-05;90.6563995593;94.260590259;88.3755629902;80.8149482193;85.858754058;69.9842135765
2023-10-06;90.4137795676;94.1552752213;87.9895311193;80.1348789103;85.3964575372;69.3583764276
2023-10-09;91.0204272885;94.4022208269;88.8130657773;81.2683277586;86.3574961324;70.4393954534
2023-10-10;90.885565005;94.3332213194;88.7101239451;81.2909513976;86.2844590482;70.6480584122
2023-10-11;90.8991139225;94.2896426831;88.8902721515;82.2430484302;86.6737306495;71.6722176352
2023-10-12;90.555281495;94.1770645394;88.3112243451;80.8602861732;85.8951874469;70.079081066
2023-10-13;90.7440630776;94.2061169636;88.7101239451;81.8123832058;86.4548140328;71.1221682688
2023-10-16;90.494621441;94.1262227971;88.285488887;80.7696102654;85.8830470389;70.0411492429
2023-10-17;89.9284452127;93.9192242748;87.474821958;79.7947989179;84.9220084437;69.0738498227
2023-10-18;89.753118177;93.9119611688;87.1917319193;79.2734577857;84.5571149764;68.5048724765
