Date,Rm,Rf,D,dp,xp
1977.12,-0.0124982,0.00356866,18.462,0.04816,0.10332
1978.03,-0.0704982,-0.00521481,18.592,0.05321,0.11173
1978.06,0.0556294,-0.0115532,18.492,0.05048,0.10472
1978.09,0.0656425,-0.0019988,18.532,0.04836,0.10058
1978.12,-0.0664952,0.0022935,18.383,0.0532,0.11096
1979.03,0.0387003,-0.007099,18.293,0.05229,0.11024
1979.06,-0.00840556,-0.0112536,18.133,0.05305,0.11294
1979.09,0.0430002,-0.00864682,18.133,0.05085,0.10974
1979.12,-0.0256287,-0.00213017,18.083,0.05258,0.11435
1980.03,-0.0804522,-0.0131171,17.773,0.05647,0.12374
1980.06,0.0973894,0.00585067,17.634,0.05259,0.11748
1980.09,0.0955879,0.00444073,17.743,0.04783,0.10874
1980.12,0.0658851,0.0019263,17.524,0.04677,0.1065
1981.03,-0.0108362,0.0110459,17.424,0.04764,0.11012
1981.06,-0.04462,0.00807947,17.314,0.04863,0.11408
1981.09,-0.127596,0.00785695,17.174,0.05575,0.1319
1981.12,0.0594163,0.0284422,17.314,0.05327,0.12767
1982.03,-0.0763132,0.0229388,17.464,0.06001,0.14387
1982.06,-0.030771,0.00725309,17.234,0.06254,0.14943
1982.09,0.105959,0.0233054,17.174,0.0566,0.13516
1982.12,0.188081,0.0225836,17.284,0.049,0.1181
1983.03,0.0962304,0.0170737,17.334,0.04514,0.10831
1983.06,0.0913046,0.00565438,17.124,0.04212,0.1
1983.09,-0.0138335,0.0102659,17.064,0.04208,0.10016
1983.12,-0.00133037,0.0162151,17.184,0.04293,0.10188
1984.03,-0.0335625,0.00997877,17.184,0.04546,0.10722
